suspension,"
tire type",esp,Torsion resistance,aerodynamic coefficient,center of gravity,"
ground condition",environmental view,"
temperature",safe mode
hard,winter,open,32400,0.24,below,wet,clear,8,0
soft,winter,open,35300,0.25,above,dry,cloudily,4,0
soft,normal,close,25600,0.23,below,damp,clear,6,0
hard,normal,close,26400,0.26,above,damp,cloudily,5,1
hard,winter,open,12200,0.27,above,dry,clear,12,0
soft,winter,close,32100,0.28,above,wet,cloudily,7,1
soft,normal,open,14700,0.27,above,wet,clear,8,0
soft,winter,close,15800,0.30,above,wet,clear,8,1
hard,normal,close,21570,0.25,below,damp,clear,9,0
hard,winter,open,23400,0.24,below,dry,cloudily,4,0
hard,normal,open,32400,0.27,below,dry,cloudily,3,0
soft,winter,open,31240,0.25,below,dry,clear,4,0
hard,winter,open,12500,0.25,above,damp,clear,6,0
soft,winter,close,33000,0.32,above,wet,clear,5,1
hard,winter,close,36000,0.31,below,wet,cloudily,6,1
soft,normal,open,27560,0.28,above,dry,cloudily,7,0
hard,normal,close,12300,0.26,above,dry,clear,13,0
hard,normal,close,31460,0.28,above,dry,cloudily,4,1
soft,winter,open,25100,0.24,below,wet,clear,9,0
hard,winter,close,25600,0.26,below,damp,cloudily,7,1
soft,normal,close,27240,0.33,above,damp,clear,9,1
soft,normal,open,24420,0.25,below,dry,clear,8,0
hard,winter,open,26600,0.36,below,wet,cloudily,5,1
soft,winter,open,21800,0.23,above,wet,cloudily,6,1
soft,normal,close,27000,0.31,below,wet,cloudily,7,1
hard,normal,close,31260,0.23,below,dry,clear,12,0
hard,winter,close,18800,0.22,above,dry,clear,15,0
hard,winter,open,19200,0.27,below,dry,cloudily,16,0
soft,normal,close,30000,0.29,above,dry,clear,19,0
hard,normal,close,23330,0.24,below,damp,cloudily,23,0
soft,winter,open,16400,0.31,above,wet,clear,25,0
hard,normal,open,26400,0.25,below,damp,clear,27,0
hard,normal,close,30000,0.31,below,dry,cloudily,25,0
hard,winter,open,31100,0.28,above,wet,clear,31,0
soft,winter,close,20240,0.27,above,dry,clear,36,0
soft,winter,open,15400,0.22,below,dry,cloudily,24,0
hard,normal,close,16600,0.34,below,damp,clear,38,0
hard,normal,close,13170,0.28,above,wet,clear,23,1
soft,winter,close,23280,0.24,above,wet,cloudily,26,1
soft,winter,open,25200,0.32,below,damp,clear,27,0
hard,normal,close,21300,0.29,above,wet,cloudily,28,1
soft,normal,open,19300,0.28,below,dry,clear,38,0
hard,winter,open,25400,0.21,above,damp,cloudily,25,0
soft,winter,close,24510,0.23,below,wet,cloudily,32,1
hard,normal,open,23400,0.21,below,wet,clear,16,0
